c1ccc(cc1)C2(CCN(CC2)C(=O)c3ccc(cc3)S(=O)(=O)N)O  6H33_FKQ
c1cc(ccc1CCNC(=S)Nc2ccc(c(c2)C(=O)O)C3=C4C=CC(=O)C=C4Oc5c3ccc(c5)O)S(=O)(=O)N  2F14_FL1
c1cc(ccc1c2ncc([se]2)CCl)S(=O)(=O)N  6H3Q_FMH
CC#CC[Se]c1ccc(cc1)S(=O)(=O)N  6D1L_FQV
c1cc(ccc1S(=O)(=O)N)[Se]C2CCCCC2  6D1M_FQY
c1ccc(c(c1)CNC(=O)c2ccc(cc2)S(=O)(=O)N)F  1G45_FSB
c1cc(c(c(c1)O)C(=O)O)O  4E3F_GRE
c1cc(c(cc1O)C(=O)O)O  4E3D_GTQ
c1ccc(cc1)[SeH]  6HX5_GXE
CC(=O)NO  1AM6_HAE
c1cc(ccc1O)O  4E3H_HQE
c1ccc2c(c1)C=CN(C2=S)O  4Q8Y_HQT
c1c(nc[nH]1)CCN  1AVN_HSM
Cc1ccc(c(c1)S)O  4Q99_HT4
COc1cc(cc(c1OC)OC)C[n+]2ccc3cc(ccc3c2)OS(=O)(=O)N  6E92_HZY
c1c(cc(c(c1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N  2POU_I7A
c1c(c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)N)N  2POV_I7B
c1c(c(cc(c1N)S(=O)(=O)N)S(=O)(=O)N)C(F)(F)F  2POW_I7C
CC#CCOc1ccc(cc1)CNS(=O)(=O)N  4PQ7_IL3
c1cc2c(cc1S(=O)(=O)N)S(=O)(=O)NC2=O  4XE1_IL5
COc1cccc(c1)N2C(=Cc3cc(sc3S2(=O)=O)S(=O)(=O)N)CN4CCOCC4  1I8Z_INL
COCCC[N@]1C=C(c2cc(sc2S1(=O)=O)S(=O)(=O)N)N  1I90_INM
c1cc(cc(c1)O)N2C(=Cc3cc(sc3S2(=O)=O)S(=O)(=O)N)CN4CCOCC4  1I91_INQ
c1cc(ccc1CNC(=O)c2ccc(cc2)S(=O)(=O)N)F  1I9L_INV
c1cc(ccc1C(=O)NCc2ccc(cc2F)F)S(=O)(=O)N  1I9M_INW
c1ccc(cc1)COc2ccc(cc2)CC(=O)O  5FLQ_IO2
c1cc(ccc1C(=O)NCc2cc(ccc2F)F)S(=O)(=O)N  1I9N_IOA
c1cc(ccc1C(=O)NCc2ccc(c(c2F)F)F)S(=O)(=O)N  1I9O_IOC
c1cc(ccc1C(=O)NCc2c(cc(cc2F)F)F)S(=O)(=O)N  1I9P_IOE
c1cc(ccc1C(=O)NCc2cc(c(c(c2)F)F)F)S(=O)(=O)N  1I9Q_IOF
C1COCCN1C(=S)S  3P5A_IT2
c1ccc(cc1)C2(CCN(CC2)C(=S)S)C#N  3P5L_IT5
CCCCCNS(=O)(=O)c1cc(ccc1C(=O)O)S(=O)(=O)N  5AMG_IW7
COc1cc(cc(c1OC)OC)C[n+]2ccc3cc(c(cc3c2)OC)OS(=O)(=O)N  6E91_J04
C[C@]12C=Cc3c(ccc4c3cc(c(c4)OS(=O)(=O)N)OC)[C@@H]1CC[C@@H]2OS(=O)(=O)N  6E8X_J0A
c1cc(ccc1C(F)(F)F)NC(=O)Nc2cc(cc(c2O)N(=O)=O)S(=O)(=O)N  6EEA_J3V
CSc1nc(c(c(n1)Cl)C=O)Nc2ccc(cc2)S(=O)(=O)N  3MHO_J43
c1cc(ccc1Nc2c(c(ncn2)Cl)[N+](=O)[O-])S(=O)(=O)N  3M40_J45
c1cc(ccc1OCc2[nH]nnn2)Cl  5FLO_J4K
Cc1cc(ccc1F)NC(=O)Nc2cc(cc(c2O)N(=O)=O)S(=O)(=O)N  6EEO_J6V
COc1c(c(ncn1)NCc2ccc(cc2)S(=O)(=O)N)[N+](=O)[O-]  3MHL_J71
c1ccc(cc1)CNc2c(c(ncn2)NCc3ccc(cc3)S(=O)(=O)N)[N+](=O)[O-]  3MHM_J75
c1cc(ccc1CNC2=C(C(=O)NC=N2)[N+](=O)[O-])S(=O)(=O)N  3MHI_J90
CSc1nc(c(c(n1)Cl)C=O)NCc2ccc(cc2)S(=O)(=O)N  3M5E_JDR
c1ccc(c(c1)C(=O)O)S  4E4A_JKE
COc1c(c(ncn1)NCCc2ccc(cc2)S(=O)(=O)N)[N+](=O)[O-]  3M3X_JS7
c1ccc(cc1)S(=O)(=O)c2cc(c(cc2C(=O)NCCO)S(=O)(=O)N)Cl  6R6J_JTW
c1ccc(cc1)C[C@@H]2CNCCN2C(=O)c3ccc(cc3)S(=O)(=O)N  6RG3_K1W
CN1CCN(C[C@@H]1Cc2ccccc2)C(=O)c3ccc(cc3)S(=O)(=O)N  6RG4_K45
c1ccc(cc1)CN2CCN(C2)C(=O)c3ccc(cc3)S(=O)(=O)N  6RHK_K4B
c1ccc(cc1)CN2CCCN(CC2)C(=O)c3ccc(cc3)S(=O)(=O)N  6RHJ_K4H
c1ccc2c(c1)C(=O)N[C@@]2(c3ccc(c(c3)S(=O)(=O)N)Cl)O  3F4X_KLT
C(C(C(F)(F)S(=O)(=O)N)(F)F)(C(F)(F)F)(F)F  6RZX_KPQ
Cc1cccc(n1)c2c(c3n(n2)CC(C3)(C)C)c4ccnc(c4)Nc5ccc(cc5)S(=O)(=O)N  6S03_KPW
Cc1cc(n(n1)C(=O)CCNc2ccc(cc2)S(=O)(=O)N)C  4Q6E_KR5
CCCCCc1ccc(cc1)S(=O)(=O)N  6SBH_L4K
c1(c(c(c(c(c1F)F)S(=O)(=O)N)F)F)F  6SD7_L7T
c1cc2c(cc1S(=O)(=O)N)nc([nH]2)c3cscn3  3FFP_LC1
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COS(=O)(=O)N)O)O)N  6C7W_LMS
c1ccc2c(c1)C(=O)NS2(=O)=O  6FJJ_LSA
CC(=O)NCCc1ccc(cc1)S(=O)(=O)N  2NNS_M25
c1cc(ccc1CCC(=O)O)S(=O)(=O)N  2NNO_M28
CCOC(=O)CCc1ccc(cc1)S(=O)(=O)N  2NNV_M29
Cc1cccc(c1)S  4Q9Y_M3T
c1cc(ccc1NC(=O)CN2C(=O)C3(CCCC3)NC2=O)S(=O)(=O)N  6ODZ_M8J
c1cc(ccc1NC(=O)CN2C(=O)C3(CCCCCC3)NC2=O)S(=O)(=O)N  6OE0_M8S
c1cc(ccc1NC(=O)CN2C(=O)C3(CCCCC3)NC2=O)S(=O)(=O)N  6OE1_M8V
c1cc2c(cc1S(=O)(=O)N)CCC2  2QOA_MAJ
c1cc(c(cc1[N+](=O)[O-])S(=O)(=O)N)Cl  2QP6_MB1
